epoch,phase,loss,acc,spec,sens,gmean,mcc,auc,thr_opt,key,key_name,val_thr
1,train,0.3698802950536129,,,,,,,,,,
1,val,0.4249098932646351,0.8864097363083164,1.0,0.02608695652173913,0.16151457061744964,0.15203515659454278,0.8929915639195329,0.5,0.15203515659454278,mcc,0.5
2,train,0.4807478011752271,,,,,,,,,,
2,val,0.37727802414560413,0.8833671399594321,1.0,0.0,0.0,0.0,0.8776169320620975,0.5,0.0,mcc,0.5
3,train,0.4060859577343165,,,,,,,,,,
3,val,0.3719134333923187,0.8833671399594321,1.0,0.0,0.0,0.0,0.8234413218189987,0.5,0.0,mcc,0.5
4,train,0.3868139471484826,,,,,,,,,,
4,val,0.35451761649781743,0.8833671399594321,1.0,0.0,0.0,0.0,0.7864922877252534,0.5,0.0,mcc,0.5
5,train,0.375617525069123,,,,,,,,,,
5,val,0.3597864280426478,0.8833671399594321,1.0,0.0,0.0,0.0,0.8198173014526031,0.5,0.0,mcc,0.5
6,train,0.3602019041404002,,,,,,,,,,
6,val,0.33067424066410106,0.8955375253549696,0.9988518943742825,0.11304347826086956,0.3360263269559806,0.3035798725433425,0.8433135326710927,0.5,0.3035798725433425,mcc,0.5
7,train,0.3445102613936731,,,,,,,,,,
7,val,0.341874671181849,0.8904665314401623,1.0,0.06086956521739131,0.24671758189758447,0.23271149244808154,0.8732840812659113,0.5,0.23271149244808154,mcc,0.5
8,train,0.3286629920474739,,,,,,,,,,
8,val,0.31874589629577094,0.8985801217038539,1.0,0.13043478260869565,0.3611575592573076,0.3420551801898647,0.8916088454050817,0.5,0.3420551801898647,mcc,0.5
9,train,0.31555966128969404,,,,,,,,,,
9,val,0.2981435031484639,0.9178498985801217,0.9965556831228473,0.3217391304347826,0.5662428444738049,0.5178595575019334,0.902550791194529,0.5,0.5178595575019334,mcc,0.5
10,train,0.3052082431199543,,,,,,,,,,
10,val,0.3307701711964172,0.9056795131845842,1.0,0.19130434782608696,0.4373835248681493,0.4157506920279304,0.9024259971047772,0.5,0.4157506920279304,mcc,0.5
11,train,0.29061042395303605,,,,,,,,,,
