epoch,phase,loss,acc,spec,sens,gmean,mcc,auc,thr_opt,key,key_name,val_thr
1,train,0.33834747250477337,,,,,,,,,,
1,val,0.36776025560032766,0.8833671399594321,1.0,0.0,0.0,0.0,0.8684620376378974,0.5,0.0,mcc,0.5
2,train,0.6110402178919448,,,,,,,,,,
2,val,0.3618206951396944,0.8833671399594321,1.0,0.0,0.0,0.0,0.8608545899266211,0.5,0.0,mcc,0.5
3,train,0.44101888114594656,,,,,,,,,,
3,val,0.36192926956420013,0.8833671399594321,1.0,0.0,0.0,0.0,0.8752009184845005,0.5,0.0,mcc,0.5
4,train,0.4180864001718394,,,,,,,,,,
4,val,0.3613900771670603,0.8833671399594321,1.0,0.0,0.0,0.0,0.885943193730345,0.5,0.0,mcc,0.5
5,train,0.409197331401455,,,,,,,,,,
5,val,0.35877233015233556,0.8833671399594321,1.0,0.0,0.0,0.0,0.863460290520641,0.5,0.0,mcc,0.5
6,train,0.40321230027231664,,,,,,,,,,
6,val,0.3568252248889776,0.8833671399594321,1.0,0.0,0.0,0.0,0.8437777666849698,0.5,0.0,mcc,0.5
7,train,0.394561465083042,,,,,,,,,,
7,val,0.3531803188290122,0.8833671399594321,1.0,0.0,0.0,0.0,0.8033295063145809,0.5,0.0,mcc,0.5
8,train,0.3849954484040047,,,,,,,,,,
8,val,0.3414489588951484,0.8833671399594321,1.0,0.0,0.0,0.0,0.8186192781909849,0.5,0.0,mcc,0.5
9,train,0.37197245108029775,,,,,,,,,,
9,val,0.33144283536481567,0.8924949290060852,1.0,0.0782608695652174,0.27975144247209416,0.2641399736541028,0.8405381121150102,0.5,0.2641399736541028,mcc,0.5
10,train,0.35187578234530736,,,,,,,,,,
10,val,0.3450743753999532,0.8884381338742393,1.0,0.043478260869565216,0.20851441405707477,0.19647651932914925,0.8634952328657716,0.5,0.19647651932914925,mcc,0.5
11,train,0.3437149474128512,,,,,,,,,,
11,val,0.34011078835984515,0.8935091277890467,1.0,0.08695652173913043,0.29488391230979427,0.2785705800482614,0.8606898617281485,0.5,0.2785705800482614,mcc,0.5
12,train,0.35153179046178273,,,,,,,,,,
