setting,acc,mcc,spec,sens,auc,gmean,within,between
(a) No-FT + Recal (no VTAN),0.64,0.27565436471683374,0.8181818181818182,0.6179775280898876,0.7681307456588355,0.7110681947099659,6.581497669219971,7.288297176361084
(b) No-FT + Recal (+VTAN),0.78,0.26352926350824185,0.5454545454545454,0.8089887640449438,0.7507660878447395,0.6642790065702583,13.250860214233398,14.285613059997559
(c) FT + Recal (no VTAN),0.65,0.2836247477379189,0.8181818181818182,0.6292134831460674,0.7732379979570991,0.7175033321629692,6.5814971923828125,7.288299083709717
(d) FT + Recal (+VTAN),0.7,0.32635061587539954,0.8181818181818182,0.6853932584269663,0.748723186925434,0.7488499865455939,20.34014129638672,21.761600494384766
